                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.1094,                 0.8735,                  1.713,                0.90115,                0.97011,                0.98831,                0.65413,                 1.0987,                0.64367,                 1.7993,             0.00094339,             0.00094339,             0.00094339
                     59,                 1.0541,                0.85275,                  1.659,                0.90156,                      1,                0.99273,                0.66061,                 1.1156,                0.61507,                 1.7999,              0.0009307,              0.0009307,              0.0009307
                     60,                 1.0439,                0.86203,                 1.6595,                 0.9939,                0.99638,                  0.995,                0.63419,                 1.2031,                0.53995,                 1.9087,               0.000918,               0.000918,               0.000918
                     61,                  1.056,                0.81836,                 1.6747,                0.89653,                0.94737,                0.96574,                0.62894,                 1.1492,                0.70079,                 1.8583,             0.00090531,             0.00090531,             0.00090531
                     62,                 1.0717,                0.82671,                 1.6647,                0.98246,                      1,                  0.995,                0.63492,                  1.192,                0.56655,                  1.951,             0.00089261,             0.00089261,             0.00089261
                     63,                  1.013,                0.84029,                 1.6462,                 0.9786,                0.95455,                  0.995,                0.62916,                 1.2712,                0.60172,                 2.0129,             0.00087992,             0.00087992,             0.00087992
                     64,                0.96604,                 0.7654,                 1.5786,                0.97235,                      1,                  0.995,                0.66064,                 1.1371,                 0.5321,                 1.8378,             0.00086722,             0.00086722,             0.00086722
                     65,                  1.046,                0.81528,                 1.6404,                0.90599,                   0.95,                0.98712,                0.67439,                 1.1115,                0.63436,                 1.8026,             0.00085453,             0.00085453,             0.00085453
                     66,                 1.0331,                0.77184,                 1.6097,                 0.9551,                0.98741,                0.99381,                0.62725,                 1.1744,                0.63191,                  1.893,             0.00084184,             0.00084184,             0.00084184
                     67,                 1.0414,                0.85157,                 1.6312,                0.99238,                0.98651,                  0.995,                0.65642,                 1.1897,                0.54964,                  1.911,             0.00082914,             0.00082914,             0.00082914
                     68,                 1.0082,                0.78953,                 1.6182,                0.98419,                  0.975,                0.99381,                0.67419,                 1.0988,                0.54946,                 1.7697,             0.00081645,             0.00081645,             0.00081645
                     69,                 1.0233,                0.79393,                 1.6302,                0.99257,                      1,                  0.995,                0.66382,                 1.1735,                0.51376,                 1.8734,             0.00080375,             0.00080375,             0.00080375
                     70,                 1.0304,                0.77329,                 1.6303,                0.96304,                      1,                  0.995,                0.65969,                  1.063,                0.50946,                 1.8413,             0.00079106,             0.00079106,             0.00079106
                     71,                0.97805,                0.72946,                 1.5909,                0.89678,                0.96861,                0.99083,                0.60322,                 1.2495,                0.65293,                 1.9995,             0.00077836,             0.00077836,             0.00077836
                     72,                0.99664,                0.73621,                 1.5951,                0.99194,                0.99618,                  0.995,                0.68522,                 1.0763,                0.54021,                 1.7388,             0.00076567,             0.00076567,             0.00076567
                     73,                0.99056,                0.74607,                 1.5976,                0.96949,                      1,                  0.995,                0.71521,                 1.0351,                0.51357,                 1.7388,             0.00075297,             0.00075297,             0.00075297
                     74,                0.99297,                 0.7237,                 1.5909,                0.99395,                      1,                  0.995,                0.67052,                 1.1378,                0.49854,                 1.7658,             0.00074028,             0.00074028,             0.00074028
                     75,                0.98329,                0.71578,                 1.5825,                0.98731,                      1,                  0.995,                0.66127,                 1.2088,                0.51886,                 1.9351,             0.00072758,             0.00072758,             0.00072758
                     76,                 0.9911,                0.72715,                 1.5974,                0.97393,                0.94313,                0.99262,                0.64945,                 1.1049,                0.54042,                 1.8101,             0.00071489,             0.00071489,             0.00071489
                     77,                0.98116,                0.74347,                 1.5718,                0.98754,                0.98375,                  0.995,                0.68682,                 1.0841,                0.45645,                 1.7686,             0.00070219,             0.00070219,             0.00070219
                     78,                0.96629,                 0.7327,                 1.5556,                0.98948,                      1,                  0.995,                0.67091,                 1.1316,                0.49983,                 1.8094,              0.0006895,              0.0006895,              0.0006895
                     79,                 1.0111,                0.74854,                 1.6009,                 0.9803,                0.97611,                  0.995,                0.66915,                 1.1623,                0.53543,                  1.834,              0.0006768,              0.0006768,              0.0006768
                     80,                 0.9695,                0.70635,                 1.5752,                0.99376,                      1,                  0.995,                0.68743,                  1.061,                0.47322,                 1.6778,             0.00066411,             0.00066411,             0.00066411
                     81,                0.93519,                0.69062,                 1.5598,                0.98418,                      1,                  0.995,                0.64869,                 1.0965,                 0.4628,                 1.7531,             0.00065141,             0.00065141,             0.00065141
                     82,                 0.9552,                0.70521,                 1.5743,                0.99474,                      1,                  0.995,                0.66953,                 1.1128,                0.47683,                 1.8031,             0.00063872,             0.00063872,             0.00063872
                     83,                0.94788,                0.72258,                 1.5594,                0.99123,                      1,                  0.995,                0.65952,                 1.0916,                0.48836,                 1.8447,             0.00062602,             0.00062602,             0.00062602
                     84,                0.93758,                0.67732,                 1.5359,                0.98516,                      1,                  0.995,                 0.7074,                 1.0434,                0.45361,                 1.7278,             0.00061333,             0.00061333,             0.00061333
                     85,                0.92701,                0.68327,                 1.5169,                0.97208,                0.97551,                  0.995,                0.70498,                 1.0304,                0.47641,                 1.7361,             0.00060063,             0.00060063,             0.00060063
                     86,                0.93029,                0.68831,                 1.5326,                0.98344,                      1,                  0.995,                0.69009,                 1.0335,                0.48658,                 1.7711,             0.00058794,             0.00058794,             0.00058794
                     87,                0.92927,                0.68024,                 1.5316,                0.99326,                      1,                  0.995,                0.68344,                 1.1182,                0.49551,                 1.8871,             0.00057524,             0.00057524,             0.00057524
                     88,                0.95532,                0.67659,                 1.5479,                0.99205,                      1,                  0.995,                0.68069,                 1.0618,                0.48718,                 1.7971,             0.00056255,             0.00056255,             0.00056255
